program,example_branch_cover_pct,notes,coverup_branch_numeric,coverup_valid_numeric
PDEExtra_residual_stop,100.00,PDEExtra_residual_stop	100.00 | OK,100.00,1
PDEExtra_shock_sensor,100.00,PDEExtra_shock_sensor	100.00 | OK,100.00,1
Runge_Kutta,100.00,Runge_Kutta	100.00 | PYTEST_FAIL | The value of y( 20 ) is: -485157734.1655482 |  | no tests ran in 0.04s | ,100.00,1
SciPy_binned_statistic_edges,100.00,SciPy_binned_statistic_edges	100.00 | OK,100.00,1
SciPy_chandrupatla_validate,57.58,SciPy_chandrupatla_validate	57.58 | OK,57.58,1
SciPy_continued_fraction,95.00,SciPy_continued_fraction	95.00 | OK,95.00,1
SciPy_cubic_boundary,100.00,SciPy_cubic_boundary	100.00 | OK,100.00,1
SciPy_finite_difference_derivative,100.00,SciPy_finite_difference_derivative	100.00 | OK,100.00,1
SciPy_group_columns_sparse,55.26,SciPy_group_columns_sparse	55.26 | OK,55.26,1
SciPy_huber_loss,100.00,SciPy_huber_loss	100.00 | OK,100.00,1
SciPy_linalg_toeplitz_validate,100.00,SciPy_linalg_toeplitz_validate	100.00 | OK,100.00,1
SciPy_optimize_bounds,100.00,SciPy_optimize_bounds	100.00 | OK,100.00,1
SciPy_signal_chirp_phase,100.00,SciPy_signal_chirp_phase	100.00 | OK,100.00,1
SciPy_sparse_norm,100.00,SciPy_sparse_norm	100.00 | OK,100.00,1
SciPy_wilcoxon_rank,100.00,SciPy_wilcoxon_rank	100.00 | OK,100.00,1
SfePyExtra_contact_penalty,100.00,SfePyExtra_contact_penalty	100.00 | OK,100.00,1
SfePyExtra_dof_map,100.00,SfePyExtra_dof_map	100.00 | OK,100.00,1
SfePyExtra_element_quality,90.00,SfePyExtra_element_quality	90.00 | OK,90.00,1
SfePyExtra_material_update,100.00,SfePyExtra_material_update	100.00 | OK,100.00,1
SfePyExtra_newton_status,100.00,SfePyExtra_newton_status	100.00 | OK,100.00,1
SfePyExtra_quadrature_order,100.00,SfePyExtra_quadrature_order	100.00 | OK,100.00,1
SfePyExtra_region_selector,100.00,SfePyExtra_region_selector	100.00 | OK,100.00,1
SfePyExtra_tensor_symmetry,100.00,SfePyExtra_tensor_symmetry	100.00 | OK,100.00,1
SfePy_axisymmetric_stress,100.00,SfePy_axisymmetric_stress	100.00 | OK,100.00,1
SfePy_biot_coupling,100.00,SfePy_biot_coupling	100.00 | OK,100.00,1
SfePy_boundary_region_selector,100.00,SfePy_boundary_region_selector	100.00 | OK,100.00,1
SfePy_dg_advection_flux,100.00,SfePy_dg_advection_flux	100.00 | OK,100.00,1
SfePy_elastic_strain_energy,100.00,SfePy_elastic_strain_energy	100.00 | OK,100.00,1
SfePy_laplace_dirichlet,100.00,SfePy_laplace_dirichlet	100.00 | OK,100.00,1
SfePy_material_coefficient,100.00,SfePy_material_coefficient	100.00 | OK,100.00,1
SfePy_mesh_refinement_indicator,100.00,SfePy_mesh_refinement_indicator	100.00 | OK,100.00,1
SfePy_piezoelectric_coupling,100.00,SfePy_piezoelectric_coupling	100.00 | OK,100.00,1
SfePy_residual_convergence,100.00,SfePy_residual_convergence	100.00 | OK,100.00,1
SparseFiniteDifferenceSolver,78.73,SparseFiniteDifferenceSolver	78.73 | OK,78.73,1
TBCExtra_cholesky_check,100.00,TBCExtra_cholesky_check	100.00 | OK,100.00,1
TBCExtra_integral_rule,100.00,TBCExtra_integral_rule	100.00 | OK,100.00,1
TBCExtra_lu_diagonal,100.00,TBCExtra_lu_diagonal	100.00 | OK,100.00,1
TBCExtra_matrix_condition,100.00,TBCExtra_matrix_condition	100.00 | OK,100.00,1
TBCExtra_pivot_strategy,9.09,TBCExtra_pivot_strategy	9.09 | PYTEST_FAIL |  | no tests ran in 0.04s | ,9.09,1
TBCExtra_root_bracket,100.00,TBCExtra_root_bracket	100.00 | OK,100.00,1
TBCExtra_step_controller,100.00,TBCExtra_step_controller	100.00 | OK,100.00,1
TBCExtra_vector_norm,100.00,TBCExtra_vector_norm	100.00 | OK,100.00,1
Trapezoidal Rule,100.00,Trapezoidal Rule	100.00 | OK,100.00,1
VectorCalculator1,100.00,VectorCalculator1	100.00 | OK,100.00,1
VectorCalculator2,100.00,VectorCalculator2	100.00 | OK,100.00,1
VectorCalculator3,100.00,VectorCalculator3	100.00 | OK,100.00,1
VectorCalculator4,100.00,VectorCalculator4	100.00 | OK,100.00,1
euler_diffusion,100.00,euler_diffusion	100.00 | OK,100.00,1
integrator1,71.34,"integrator1	71.34 | PYTEST_FAIL | ................F............................                            [100%] | =========================== short test summary info =========================== | FAILED coverup/result_4o/tests/test_coverup_14.py::test_trap_d_multiple_points | 1 failed, 44 passed in 0.79s | ",71.34,1
integrator2,100.00,integrator2	100.00 | OK,100.00,1
integrator3,91.30,integrator3	91.30 | OK,91.30,1
integrator4,100.00,integrator4	100.00 | OK,100.00,1
integrator5,100.00,integrator5	100.00 | OK,100.00,1
integrator6,13.04,integrator6	13.04 | OK,13.04,1
qr_decomposition,100.00,qr_decomposition	100.00 | PYTEST_FAIL | q: |  [[-0.857143  0.394286  0.331429] |  [-0.428571 -0.902857 -0.034286] |  [ 0.285714 -0.171429  0.942857]] | r: |  [[ -14.  -21.   14.] |  [   0. -175.   70.] |  [   0.   -0.  -35.]] |  | polyfit: |  [1. 2. 3.] |  | no tests ran in 0.05s | ,100.00,1
solve_equation1,89.47,solve_equation1	89.47 | OK,89.47,1
solve_equation2,12.50,solve_equation2	12.50 | PYTEST_FAIL |  | no tests ran in 0.04s | ,12.50,1
